"Step","r2-10_pt_20k - valid_epoch_vdc_acc","r2-10_pt_20k - valid_epoch_vdc_acc__MIN","r2-10_pt_20k - valid_epoch_vdc_acc__MAX","r2-10_pt_20k - train_epoch_vdc_acc","r2-10_pt_20k - train_epoch_vdc_acc__MIN","r2-10_pt_20k - train_epoch_vdc_acc__MAX"
"7","","","","0.060405801981687546","0.060405801981687546","0.060405801981687546"
"8","0.08938455581665039","0.08938455581665039","0.08938455581665039","","",""
"17","","","","0.09122757613658905","0.09122757613658905","0.09122757613658905"
"18","0.08500073850154877","0.08500073850154877","0.08500073850154877","","",""
"27","","","","0.12995068728923798","0.12995068728923798","0.12995068728923798"
"28","0.09961549937725067","0.09961549937725067","0.09961549937725067","","",""
"37","","","","0.1877063363790512","0.1877063363790512","0.1877063363790512"
"38","0.20571795105934143","0.20571795105934143","0.20571795105934143","","",""
"47","","","","0.20278972387313843","0.20278972387313843","0.20278972387313843"
"48","0.1446414589881897","0.1446414589881897","0.1446414589881897","","",""
"57","","","","0.20705316960811615","0.20705316960811615","0.20705316960811615"
"58","0.18278555572032928","0.18278555572032928","0.18278555572032928","","",""
"67","","","","0.22475674748420715","0.22475674748420715","0.22475674748420715"
"68","0.21354268491268158","0.21354268491268158","0.21354268491268158","","",""
"77","","","","0.2248157560825348","0.2248157560825348","0.2248157560825348"
"78","0.14827831089496613","0.14827831089496613","0.14827831089496613","","",""
"87","","","","0.23818935453891754","0.23818935453891754","0.23818935453891754"
"88","0.18336108326911926","0.18336108326911926","0.18336108326911926","","",""
"97","","","","0.2372734397649765","0.2372734397649765","0.2372734397649765"
"98","0.12230909615755081","0.12230909615755081","0.12230909615755081","","",""
"106","","","","0.22875960171222687","0.22875960171222687","0.22875960171222687"
"107","0.1180109977722168","0.1180109977722168","0.1180109977722168","","",""
"116","","","","0.288777232170105","0.288777232170105","0.288777232170105"
"117","0.15564385056495667","0.15564385056495667","0.15564385056495667","","",""
"126","","","","0.33535856008529663","0.33535856008529663","0.33535856008529663"
"127","0.08205880224704742","0.08205880224704742","0.08205880224704742","","",""
"136","","","","0.37487533688545227","0.37487533688545227","0.37487533688545227"
"137","0.2953014671802521","0.2953014671802521","0.2953014671802521","","",""
"146","","","","0.3847149610519409","0.3847149610519409","0.3847149610519409"
"147","0.2879910171031952","0.2879910171031952","0.2879910171031952","","",""
"156","","","","0.3818090558052063","0.3818090558052063","0.3818090558052063"
"157","0.09761033952236176","0.09761033952236176","0.09761033952236176","","",""
"166","","","","0.3821764290332794","0.3821764290332794","0.3821764290332794"
"167","0.45530465245246887","0.45530465245246887","0.45530465245246887","","",""
"176","","","","0.4167573153972626","0.4167573153972626","0.4167573153972626"
"177","0.4907701015472412","0.4907701015472412","0.4907701015472412","","",""
"186","","","","0.41655126214027405","0.41655126214027405","0.41655126214027405"
"187","0.2505173683166504","0.2505173683166504","0.2505173683166504","","",""
"196","","","","0.4126184582710266","0.4126184582710266","0.4126184582710266"
"197","0.1735740303993225","0.1735740303993225","0.1735740303993225","","",""
"205","","","","0.41654402017593384","0.41654402017593384","0.41654402017593384"
"206","0.384878933429718","0.384878933429718","0.384878933429718","","",""
"215","","","","0.42997631430625916","0.42997631430625916","0.42997631430625916"
"216","0.24794279038906097","0.24794279038906097","0.24794279038906097","","",""
"225","","","","0.42330676317214966","0.42330676317214966","0.42330676317214966"
"226","0.47366034984588623","0.47366034984588623","0.47366034984588623","","",""
"235","","","","0.39688196778297424","0.39688196778297424","0.39688196778297424"
"236","0.2225888967514038","0.2225888967514038","0.2225888967514038","","",""
"245","","","","0.4236805737018585","0.4236805737018585","0.4236805737018585"
"246","0.34860527515411377","0.34860527515411377","0.34860527515411377","","",""
"255","","","","0.43913882970809937","0.43913882970809937","0.43913882970809937"
"256","0.23253513872623444","0.23253513872623444","0.23253513872623444","","",""
"265","","","","0.4299658238887787","0.4299658238887787","0.4299658238887787"
"266","0.3454674184322357","0.3454674184322357","0.3454674184322357","","",""
"275","","","","0.4343259334564209","0.4343259334564209","0.4343259334564209"
"276","0.21118852496147156","0.21118852496147156","0.21118852496147156","","",""
"285","","","","0.44851014018058777","0.44851014018058777","0.44851014018058777"
"286","0.19986775517463684","0.19986775517463684","0.19986775517463684","","",""
"295","","","","0.48111769556999207","0.48111769556999207","0.48111769556999207"
"296","0.16612277925014496","0.16612277925014496","0.16612277925014496","","",""
"304","","","","0.4532545506954193","0.4532545506954193","0.4532545506954193"
"305","0.1616256982088089","0.1616256982088089","0.1616256982088089","","",""
"314","","","","0.4761355519294739","0.4761355519294739","0.4761355519294739"
"315","0.344852089881897","0.344852089881897","0.344852089881897","","",""
"324","","","","0.5193312168121338","0.5193312168121338","0.5193312168121338"
"325","0.42040860652923584","0.42040860652923584","0.42040860652923584","","",""
"334","","","","0.4865771532058716","0.4865771532058716","0.4865771532058716"
"335","0.23601587116718292","0.23601587116718292","0.23601587116718292","","",""
"344","","","","0.4732259511947632","0.4732259511947632","0.4732259511947632"
"345","0.29834747314453125","0.29834747314453125","0.29834747314453125","","",""
"354","","","","0.4416518807411194","0.4416518807411194","0.4416518807411194"
"355","0.38753610849380493","0.38753610849380493","0.38753610849380493","","",""
"364","","","","0.4825974404811859","0.4825974404811859","0.4825974404811859"
"365","0.38103389739990234","0.38103389739990234","0.38103389739990234","","",""
"374","","","","0.46910321712493896","0.46910321712493896","0.46910321712493896"
"375","0.5235905647277832","0.5235905647277832","0.5235905647277832","","",""
"384","","","","0.4695219099521637","0.4695219099521637","0.4695219099521637"
"385","0.09638579934835434","0.09638579934835434","0.09638579934835434","","",""
"394","","","","0.4290192425251007","0.4290192425251007","0.4290192425251007"
"395","0.09491942822933197","0.09491942822933197","0.09491942822933197","","",""
"403","","","","0.48298269510269165","0.48298269510269165","0.48298269510269165"
"404","0.24419879913330078","0.24419879913330078","0.24419879913330078","","",""
"413","","","","0.46064361929893494","0.46064361929893494","0.46064361929893494"
"414","0.32316258549690247","0.32316258549690247","0.32316258549690247","","",""
"423","","","","0.48959147930145264","0.48959147930145264","0.48959147930145264"
"424","0.25577670335769653","0.25577670335769653","0.25577670335769653","","",""
"433","","","","0.4958937466144562","0.4958937466144562","0.4958937466144562"
"434","0.3377957046031952","0.3377957046031952","0.3377957046031952","","",""
"443","","","","0.4615815579891205","0.4615815579891205","0.4615815579891205"
"444","0.3979170620441437","0.3979170620441437","0.3979170620441437","","",""
"453","","","","0.45660635828971863","0.45660635828971863","0.45660635828971863"
"454","0.4457625150680542","0.4457625150680542","0.4457625150680542","","",""
"463","","","","0.48168012499809265","0.48168012499809265","0.48168012499809265"
"464","0.16245223581790924","0.16245223581790924","0.16245223581790924","","",""
"473","","","","0.45166662335395813","0.45166662335395813","0.45166662335395813"
"474","0.1421526074409485","0.1421526074409485","0.1421526074409485","","",""
"483","","","","0.48763081431388855","0.48763081431388855","0.48763081431388855"
"484","0.33214449882507324","0.33214449882507324","0.33214449882507324","","",""
"493","","","","0.44653305411338806","0.44653305411338806","0.44653305411338806"
"494","0.34204792976379395","0.34204792976379395","0.34204792976379395","","",""
"502","","","","0.5035660862922668","0.5035660862922668","0.5035660862922668"
"503","0.5257549285888672","0.5257549285888672","0.5257549285888672","","",""
"512","","","","0.5018218755722046","0.5018218755722046","0.5018218755722046"
"513","0.32414835691452026","0.32414835691452026","0.32414835691452026","","",""
"522","","","","0.4928692579269409","0.4928692579269409","0.4928692579269409"
"523","0.3845084607601166","0.3845084607601166","0.3845084607601166","","",""
"532","","","","0.4621273875236511","0.4621273875236511","0.4621273875236511"
"533","0.39716094732284546","0.39716094732284546","0.39716094732284546","","",""
"542","","","","0.49071961641311646","0.49071961641311646","0.49071961641311646"
"543","0.5241905450820923","0.5241905450820923","0.5241905450820923","","",""
"552","","","","0.5053279995918274","0.5053279995918274","0.5053279995918274"
"553","0.29477185010910034","0.29477185010910034","0.29477185010910034","","",""
"562","","","","0.45388326048851013","0.45388326048851013","0.45388326048851013"
"563","0.07757090032100677","0.07757090032100677","0.07757090032100677","","",""
"572","","","","0.5102561712265015","0.5102561712265015","0.5102561712265015"
"573","0.39246484637260437","0.39246484637260437","0.39246484637260437","","",""
"582","","","","0.48457711935043335","0.48457711935043335","0.48457711935043335"
"583","0.046118851751089096","0.046118851751089096","0.046118851751089096","","",""
"592","","","","0.4627216160297394","0.4627216160297394","0.4627216160297394"
"593","0.39630377292633057","0.39630377292633057","0.39630377292633057","","",""
"601","","","","0.5237833857536316","0.5237833857536316","0.5237833857536316"
"602","0.30615079402923584","0.30615079402923584","0.30615079402923584","","",""
"611","","","","0.5211088061332703","0.5211088061332703","0.5211088061332703"
"612","0.5511118769645691","0.5511118769645691","0.5511118769645691","","",""
"621","","","","0.46609801054000854","0.46609801054000854","0.46609801054000854"
"622","0.3389437198638916","0.3389437198638916","0.3389437198638916","","",""
"631","","","","0.49748674035072327","0.49748674035072327","0.49748674035072327"
"632","0.340312123298645","0.340312123298645","0.340312123298645","","",""
"641","","","","0.4896699786186218","0.4896699786186218","0.4896699786186218"
"642","0.17317911982536316","0.17317911982536316","0.17317911982536316","","",""
"651","","","","0.511925995349884","0.511925995349884","0.511925995349884"
"652","0.15192128717899323","0.15192128717899323","0.15192128717899323","","",""
"661","","","","0.4970492124557495","0.4970492124557495","0.4970492124557495"
"662","0.43217024207115173","0.43217024207115173","0.43217024207115173","","",""
"671","","","","0.5090442895889282","0.5090442895889282","0.5090442895889282"
"672","0.47938504815101624","0.47938504815101624","0.47938504815101624","","",""
"681","","","","0.45613765716552734","0.45613765716552734","0.45613765716552734"
"682","0.5776719450950623","0.5776719450950623","0.5776719450950623","","",""
"691","","","","0.489911824464798","0.489911824464798","0.489911824464798"
"692","0.5948888063430786","0.5948888063430786","0.5948888063430786","","",""
"700","","","","0.4728500247001648","0.4728500247001648","0.4728500247001648"
"701","0.42282092571258545","0.42282092571258545","0.42282092571258545","","",""
"710","","","","0.5320075750350952","0.5320075750350952","0.5320075750350952"
"711","0.4539729952812195","0.4539729952812195","0.4539729952812195","","",""
"720","","","","0.4712820053100586","0.4712820053100586","0.4712820053100586"
"721","0.348152220249176","0.348152220249176","0.348152220249176","","",""
"730","","","","0.44761431217193604","0.44761431217193604","0.44761431217193604"
"731","0.018784286454319954","0.018784286454319954","0.018784286454319954","","",""
"740","","","","0.45097023248672485","0.45097023248672485","0.45097023248672485"
"741","0.24888262152671814","0.24888262152671814","0.24888262152671814","","",""
"750","","","","0.49603697657585144","0.49603697657585144","0.49603697657585144"
"751","0.5199720859527588","0.5199720859527588","0.5199720859527588","","",""
"760","","","","0.5242389440536499","0.5242389440536499","0.5242389440536499"
"761","0.16310124099254608","0.16310124099254608","0.16310124099254608","","",""
"770","","","","0.5073364973068237","0.5073364973068237","0.5073364973068237"
"771","0.39101991057395935","0.39101991057395935","0.39101991057395935","","",""
"780","","","","0.4907538592815399","0.4907538592815399","0.4907538592815399"
"781","0.30429258942604065","0.30429258942604065","0.30429258942604065","","",""
"790","","","","0.5137802958488464","0.5137802958488464","0.5137802958488464"
"791","0.35593101382255554","0.35593101382255554","0.35593101382255554","","",""
"799","","","","0.535524308681488","0.535524308681488","0.535524308681488"
"800","0.4977223575115204","0.4977223575115204","0.4977223575115204","","",""
"809","","","","0.5205827951431274","0.5205827951431274","0.5205827951431274"
"810","0.1905398964881897","0.1905398964881897","0.1905398964881897","","",""
"819","","","","0.49178820848464966","0.49178820848464966","0.49178820848464966"
"820","0.34969815611839294","0.34969815611839294","0.34969815611839294","","",""
"829","","","","0.5109537243843079","0.5109537243843079","0.5109537243843079"
"830","0.10001040995121002","0.10001040995121002","0.10001040995121002","","",""
"839","","","","0.5308178067207336","0.5308178067207336","0.5308178067207336"
"840","0.30542221665382385","0.30542221665382385","0.30542221665382385","","",""
"849","","","","0.5028084516525269","0.5028084516525269","0.5028084516525269"
"850","0.40914297103881836","0.40914297103881836","0.40914297103881836","","",""
"859","","","","0.526226818561554","0.526226818561554","0.526226818561554"
"860","0.25810331106185913","0.25810331106185913","0.25810331106185913","","",""
"869","","","","0.5203224420547485","0.5203224420547485","0.5203224420547485"
"870","0.5031378269195557","0.5031378269195557","0.5031378269195557","","",""
"879","","","","0.5053536891937256","0.5053536891937256","0.5053536891937256"
"880","0.4568445384502411","0.4568445384502411","0.4568445384502411","","",""
"889","","","","0.5179599523544312","0.5179599523544312","0.5179599523544312"
"890","0.3439183831214905","0.3439183831214905","0.3439183831214905","","",""
"898","","","","0.5097787380218506","0.5097787380218506","0.5097787380218506"
"899","0.5483750700950623","0.5483750700950623","0.5483750700950623","","",""
"908","","","","0.5004376769065857","0.5004376769065857","0.5004376769065857"
"909","0.06178365275263786","0.06178365275263786","0.06178365275263786","","",""
"918","","","","0.5176872611045837","0.5176872611045837","0.5176872611045837"
"919","0.4038897454738617","0.4038897454738617","0.4038897454738617","","",""
"928","","","","0.5003755688667297","0.5003755688667297","0.5003755688667297"
"929","0.3410407304763794","0.3410407304763794","0.3410407304763794","","",""
"938","","","","0.5090295076370239","0.5090295076370239","0.5090295076370239"
"939","0.4533270597457886","0.4533270597457886","0.4533270597457886","","",""
"948","","","","0.4930749237537384","0.4930749237537384","0.4930749237537384"
"949","0.505363404750824","0.505363404750824","0.505363404750824","","",""
"958","","","","0.5048502683639526","0.5048502683639526","0.5048502683639526"
"959","0.559925377368927","0.559925377368927","0.559925377368927","","",""
"968","","","","0.4710177779197693","0.4710177779197693","0.4710177779197693"
"969","0.37078455090522766","0.37078455090522766","0.37078455090522766","","",""
"978","","","","0.4974071681499481","0.4974071681499481","0.4974071681499481"
"979","0.2729966640472412","0.2729966640472412","0.2729966640472412","","",""
"988","","","","0.4777114987373352","0.4777114987373352","0.4777114987373352"
"989","0.21896123886108398","0.21896123886108398","0.21896123886108398","","",""
"997","","","","0.48693016171455383","0.48693016171455383","0.48693016171455383"
"998","0.39160460233688354","0.39160460233688354","0.39160460233688354","","",""
"1007","","","","0.5250076651573181","0.5250076651573181","0.5250076651573181"
"1008","0.2238379269838333","0.2238379269838333","0.2238379269838333","","",""
"1017","","","","0.5521901249885559","0.5521901249885559","0.5521901249885559"
"1018","0.21396209299564362","0.21396209299564362","0.21396209299564362","","",""
"1027","","","","0.5460231304168701","0.5460231304168701","0.5460231304168701"
"1028","0.01668727956712246","0.01668727956712246","0.01668727956712246","","",""
"1037","","","","0.5282212495803833","0.5282212495803833","0.5282212495803833"
"1038","0.1730138063430786","0.1730138063430786","0.1730138063430786","","",""
"1047","","","","0.5548765659332275","0.5548765659332275","0.5548765659332275"
"1048","0.4559016227722168","0.4559016227722168","0.4559016227722168","","",""
"1057","","","","0.5067043304443359","0.5067043304443359","0.5067043304443359"
"1058","0.4527361989021301","0.4527361989021301","0.4527361989021301","","",""
"1067","","","","0.5011181831359863","0.5011181831359863","0.5011181831359863"
"1068","0.10002877563238144","0.10002877563238144","0.10002877563238144","","",""
"1077","","","","0.5433878898620605","0.5433878898620605","0.5433878898620605"
"1078","0.5449095964431763","0.5449095964431763","0.5449095964431763","","",""
"1087","","","","0.5140261054039001","0.5140261054039001","0.5140261054039001"
"1088","0.44203686714172363","0.44203686714172363","0.44203686714172363","","",""
"1096","","","","0.5496416687965393","0.5496416687965393","0.5496416687965393"
"1097","0.3122612237930298","0.3122612237930298","0.3122612237930298","","",""
